Time,Match,RedTeamId,RedTeamName,RedTeamNumber,BlueTeamId,BlueTeamName,BlueTeamNumber
5:20,1,20,,,18,,
5:25,2,19,,,17,,
5:30,3,16,,,15,,
5:35,4,14,BEARS,68276,13,Heartlake Dragons,65060
5:40,5,10,,,9,RoboDragons,57616
5:45,6,12,Gear Grinders,71429,11,Brookline Bumblebots,67598
5:50,7,17,,,15,,
5:55,8,3,2BD,71153,2,BrooklineBros,72043
6:00,9,1,404 Code not found,72022,20,,
6:05,10,5,Robotic Pretzels,66880,4,Beach Balls of Doom,63674
6:10,11,16,,,14,BEARS,68276
6:15,12,19,,,18,,
6:20,13,2,BrooklineBros,72043,1,404 Code not found,72022
6:25,14,10,,,6,Gummi Bears,56812
6:30,15,9,RoboDragons,57616,8,LEGO Legends,72075
6:35,16,7,LLEGO Llamas,71958,6,Gummi Bears,56812
6:40,17,5,Robotic Pretzels,66880,3,2BD,71153
6:45,18,8,LEGO Legends,72075,7,LLEGO Llamas,71958
6:50,Break,Break,Break,Break,Break,Break,Break
7:20,19,13,Heartlake Dragons,65060,12,Gear Grinders,71429
7:25,20,11,Brookline Bumblebots,67598,1,404 Code not found,72022
7:30,21,15,,,14,BEARS,68276
7:35,22,12,Gear Grinders,71429,9,RoboDragons,57616
7:40,23,11,Brookline Bumblebots,67598,10,,
7:45,24,13,Heartlake Dragons,65060,8,LEGO Legends,72075
7:50,25,4,Beach Balls of Doom,63674,3,2BD,71153
7:55,26,18,,,17,,
8:00,27,16,,,7,LLEGO Llamas,71958
8:05,28,6,Gummi Bears,56812,5,Robotic Pretzels,66880
8:10,29,20,,,19,,
8:15,30,4,Beach Balls of Doom,63674,2,BrooklineBros,72043
